合并状态,source_page,pdf_page,词条,OCR行号,OCR页码,OCR汉字,VLM_IPA,OCR_IPA,IPA完全相同,IPA数字相同,IPA音段相同,IPA只有数字不同,IPA相似度,VLM吴拼_由IPA反推,OCR吴拼,吴拼完全相同,吴拼数字相同,吴拼字母相同,吴拼只有数字不同,吴拼相似度,VLM吴拼反推状态,VLM_IPA来源,VLM_原始IPA字段,VLM_ipa_raw,VLM置信度,VLM备注,OCR后续汉字
两边都有,259,137,小说,0,259,小说,ɕiɒ335seʔ54,ɕiɒ335seʔ54,是,是,是,否,1.0,shiau335seq54,shiau335seq54,是,是,是,否,1.0,ok,syllables_json.final,iɒ335seʔ54,ɕiɔ335seʔ54,0.9,,小说~io135se?11
两边都有,259,137,影戏,4,259,影戏,iŋ335ɕi52,iŋ335ɕi52,是,是,是,否,1.0,in335shi52,in335shi52,是,是,是,否,1.0,ok,syllables_json.final,iŋ335ɕi52,iŋ335ɕi52,0.9,,影戏i1)3.\飞i~~
两边都有,259,137,炮仗,26,259,炮仗,pʰɒ33dzaŋ33,pʰɒ33dzaŋ33,是,是,是,否,1.0,phau33dzan33,phau33dzan33,是,是,是,否,1.0,ok,syllables_json.final,pʰɒ33dzaŋ33,pʰɒ33dzaŋ33,0.9,,炮仗p~33dzaIJ阴
两边都有,259,137,烟火,28,259,烟火,iẽ33hu55,iẽ33hu55,是,是,是,否,1.0,ien33hu55,ien33hu55,是,是,是,否,1.0,ok,syllables_json.final,iẽ33hu55,iẽ33hu55,0.9,,烟火i睬hu穸焰火。
两边都有,259,137,照片,22,259,照片,tsɒ33pʰiẽ33,tsɒ33pʰiẽ33,是,是,是,否,1.0,tsau33phien33,tsau33phien33,是,是,是,否,1.0,ok,syllables_json.final,tsɒ33pʰiẽ33,tsɒ33pʰiẽ33,0.9,,照片tso33p哏.l.l
两边都有,259,137,电影,3,259,电影,diẽ11iŋ11,diẽ11iŋ11,是,是,是,否,1.0,dien11in11,dien11in11,是,是,是,否,1.0,ok,syllables_json.final,diẽ11iŋ11,diẽ11iŋ11,0.9,,电影die11i1J铲
两边都有,259,137,舞,6,259,舞,ɦu231,ɦu231,是,是,是,否,1.0,wu231,wu231,是,是,是,否,1.0,ok,syllables_json.final,ɦu231,ɦu231,0.9,,舞6u231
两边都有,260,138,喇叭,43,260,喇叭,la11pa55,la11pa55,是,是,是,否,1.0,la11pa55,la11pa55,是,是,是,否,1.0,ok,syllables_json.final,la11pa55,la11pa55,0.99,,喇叭la和pal~
两边都有,260,138,毅鼓,36,260,毅鼓,toʔ3ku55,toʔ3ku55,是,是,是,否,1.0,toq3ku55,toq3ku55,是,是,是,否,1.0,ok,syllables_json.final,toʔ3ku55,toʔ3ku55,0.99,,毅鼓to怀kuW一种扁形小鼓，鼓皮下四周有硬木衬垫。鼓声浩
两边都有,260,138,琵琶,34,260,琵琶,bi11bo52,bi11bo52,是,是,是,否,1.0,bi11bo52,bi11bo52,是,是,是,否,1.0,ok,syllables_json.final,bi11bo52,bi11bo52,0.99,,琵琶b谓bo铲
